Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Create Confirmation Dialog for Account Deletion,QUIC-124,10493,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:06 AM,07/Jul/25 12:09 PM,,,03/Jul/25 12:00 AM,0,Implement a confirmation dialog that appears when a user initiates the account deletion process. The dialog should clearly inform the user of the consequences and require confirmation before proceeding.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000tb:,QUIC Sprint 1,,,,,,,,10485,QUIC-120,Delete Account functionality ,In Progress,07/Jul/25 12:09 PM
Implement Backend Logic for Account Deletion,QUIC-123,10491,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:04 AM,03/Jul/25 10:17 PM,,,02/Jul/25 12:00 AM,0,Develop the backend functionality to handle account deletion requests. This includes removing user data from the database and ensuring all related data is properly managed.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000t3:,QUIC Sprint 1,,,,,,,,10485,QUIC-120,Delete Account functionality ,In Progress,03/Jul/25 10:17 PM
Add Email address functionality,QUIC-121,10487,Task,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:57 AM,11/Aug/25 10:55 AM,01/Jul/25 11:08 AM,,,0,"h2. Summary

This issue is about implementing a feature that allows users to add an email address to their account.

h2. Context

Currently, users do not have the option to add an email address to their accounts. This functionality is necessary for account verification and communication purposes.

h2. Acceptance criteria

* Users must be able to add an email address to their account.
* The email address should be validated for correct format.
* Users should receive a confirmation code after adding their email address.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000sr:,QUIC Sprint 1,,,,,,,,10135,QUIC-6,Customer Account Profile,In Progress,11/Aug/25 10:55 AM
Delete Account functionality ,QUIC-120,10485,Task,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:56 AM,11/Aug/25 10:55 AM,01/Jul/25 11:01 AM,,,0,"h2. Summary

This issue is about implementing a feature that allows users to delete their accounts.

h2. Context

Currently, users do not have the option to delete their accounts. This functionality is necessary for user autonomy and data management.

h2. Acceptance criteria

* Users must be able to delete their accounts through the application.
* The deletion process should be straightforward and user-friendly.
* Confirmation should be required before finalizing the account deletion.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000sf:,QUIC Sprint 1,,,,,,,,10135,QUIC-6,Customer Account Profile,In Progress,11/Aug/25 10:55 AM
Implement Sign Up Endpoint Logic,QUIC-119,10483,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:53 AM,03/Jul/25 10:17 PM,01/Jul/25 10:55 AM,,,0,"Develop the backend logic for the sign up endpoint, ensuring it handles user data correctly and securely.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000s7:,QUIC Sprint 1,,,,,,,,10465,QUIC-110,Sign up Endpoint,In Progress,03/Jul/25 10:17 PM
Integrate Sign Up Endpoint with Database,QUIC-118,10481,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:53 AM,10/Jul/25 8:12 PM,11/Aug/25 10:50 AM,,,0,Connect the sign up endpoint to the database to store user registration details securely.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000rz:,QUIC Sprint 1,,,,,,,,10465,QUIC-110,Sign up Endpoint,In Progress,10/Jul/25 8:12 PM
Write Unit Tests for Sign Up Endpoint,QUIC-117,10480,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:53 AM,11/Aug/25 10:49 AM,11/Aug/25 10:48 AM,,,0,Create unit tests to verify the functionality and reliability of the sign up endpoint logic.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000rr:,QUIC Sprint 1,,,,,,,,10465,QUIC-110,Sign up Endpoint,In Progress,11/Aug/25 10:49 AM
Document Sign In API Endpoint,QUIC-116,10477,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,03/Jul/25 10:14 PM,,,,0,"Create documentation for the sign in API endpoint, detailing how to use it and any necessary parameters.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000rj:,QUIC Sprint 1,,,,,,,,10463,QUIC-109,Sign in Endpoint,In Progress,03/Jul/25 10:14 PM
Integrate Sign In with Database,QUIC-115,10473,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,10/Jul/25 8:13 PM,,,,0,Connect the sign in functionality with the database to verify user credentials and retrieve user data.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000rb:,QUIC Sprint 1,,,,,,,,10463,QUIC-109,Sign in Endpoint,In Progress,10/Jul/25 8:13 PM
Design Sign In API Endpoint,QUIC-113,10471,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,11/Aug/25 10:59 AM,,,,0,"Design the API endpoint for user sign in, including request and response structures.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000r3:,QUIC Sprint 1,,,,,,,,10463,QUIC-109,Sign in Endpoint,In Progress,11/Aug/25 10:59 AM
Write Unit Tests for Sign In Endpoint,QUIC-112,10475,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,11/Aug/25 10:58 AM,,,,0,Develop unit tests to ensure the sign in endpoint functions correctly and handles edge cases.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000qn:,QUIC Sprint 1,,,,,,,,10463,QUIC-109,Sign in Endpoint,In Progress,11/Aug/25 10:58 AM
Create Sign In Error Handling,QUIC-111,10474,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,10/Jul/25 8:11 PM,07/Jul/25 9:46 AM,,,0,"Implement error handling for the sign in process, including incorrect password and user not found scenarios.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000qf:,QUIC Sprint 1,,,,,,,,10463,QUIC-109,Sign in Endpoint,In Progress,10/Jul/25 8:11 PM
Implement Sign In Logic,QUIC-114,10472,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:47 AM,03/Jul/25 10:14 PM,,,,0,"Develop the backend logic for authenticating users during sign in, including Phone number verification and session management.",,Divine Idehen,Odenbridge Technologies,Oladipupo Akindunbi,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,712020:08cab4df-fe21-466a-9645-f20eaeb11349,635fc38f7d4645af4f0331ee,,,,,,,,,{},,0|i000qv:,QUIC Sprint 1,,,,,,02/Jul/25 12:58 AM;712020:15e3613c-e48a-436e-be9f-95fcc39a42c4;password keh ?? [~accountid:635fc38f7d4645af4f0331ee] [~accountid:61fd566649fc43006952e766] or did something change ?,02/Jul/25 9:16 AM;635fc38f7d4645af4f0331ee;[~accountid:712020:15e3613c-e48a-436e-be9f-95fcc39a42c4] It’s a mistake. Corrected it. THANK you for pointing it out. ,10463,QUIC-109,Sign in Endpoint,In Progress,03/Jul/25 10:14 PM
Sign up Endpoint,QUIC-110,10465,Task,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:11 AM,04/Jul/25 2:31 PM,11/Aug/25 10:49 AM,,,0,Create sign up endpoint,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000sc:,QUIC Sprint 1,,,,,,,,10101,QUIC-2, User Authentication & Login,In Progress,04/Jul/25 3:26 AM
Sign in Endpoint,QUIC-109,10463,Task,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 10:11 AM,04/Jul/25 2:30 PM,04/Jul/25 2:21 PM,,,0,Create sign in endpoint,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000sd:,QUIC Sprint 1,,,,,,,,10101,QUIC-2, User Authentication & Login,In Progress,04/Jul/25 3:27 AM
Integrate location autocomplete for pickup location,QUIC-108,10438,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,24/Jun/25 9:14 AM,24/Jun/25 9:14 AM,,,,0,Integrate a location autocomplete service to suggest pickup locations as the user types. This should enhance user experience by providing quick and accurate location suggestions.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000pr:,,,,,,,,,10168,QUIC-11,Type Pickup location,To Do,24/Jun/25 9:14 AM
Implement text input for pickup location,QUIC-107,10436,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,24/Jun/25 9:14 AM,24/Jun/25 9:14 AM,,,,0,Develop the feature that allows users to type in their desired pickup location in the customer app. Ensure the input field is user-friendly and supports various address formats.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000pj:,,,,,,,,,10168,QUIC-11,Type Pickup location,To Do,24/Jun/25 9:14 AM
Validate typed pickup location,QUIC-106,10435,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,24/Jun/25 9:14 AM,24/Jun/25 9:15 AM,,,,0,"h2. Summary

Implement validation logic for the typed pickup location. Ensure it is valid and serviceable.

h2. Context

The issue involves checking the typed pickup location against a list of supported areas. Feedback should be provided to the user if the location is invalid.

h2. Acceptance criteria

* Validate the typed pickup location.
* Check against a list of supported areas.
* Provide user feedback for invalid locations.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000pb:,,,,,,,,,10168,QUIC-11,Type Pickup location,To Do,24/Jun/25 9:14 AM
Create delivery location field,QUIC-105,10432,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,24/Jun/25 9:08 AM,10/Jul/25 8:10 PM,,,,0,"h2. Summary

Create a field for users to input and select their delivery location. This will include a map integration for selecting locations and a list of suggested locations.

h2. Context

The goal is to enhance user experience by allowing easy selection of delivery locations.

h2. Acceptance criteria

* Users can type in their delivery location.
* Users can select their delivery location from a map.
* A list of automatically suggested locations is provided.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000p3:,,,,,,,,,10166,QUIC-10,Create instant delivery request fields,In Progress,10/Jul/25 8:10 PM
Create pick-up location field,QUIC-104,10430,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,24/Jun/25 9:02 AM,10/Jul/25 8:08 PM,,,25/Jun/25 12:00 AM,0,"h2. Summary

Create a field for users to input and select their pick-up location. This will include a map integration for selecting locations and a list of suggested locations.

h2. Context

The goal is to enhance user experience by allowing easy selection of pick-up locations.

h2. Acceptance criteria

* Users can type in their pick-up location.
* Users can select their pick-up location from a map.
* A list of automatically suggested locations is provided.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000ov:,,,,,,,,,10166,QUIC-10,Create instant delivery request fields,In Progress,10/Jul/25 8:08 PM
Test Delivery Request Flow Trigger,QUIC-103,10419,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:33 AM,18/Jun/25 10:34 AM,,,,0,Test the functionality of the 'Send a Package' CTA button to ensure it correctly opens the delivery request flow screen and directs to the pickup and delivery screen when tapped.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000on:,,,,,,,,,10350,QUIC-74,“Send a Package” CTA Button,To Do,18/Jun/25 10:33 AM
Implement 'Send a Package' CTA Button,QUIC-102,10420,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:33 AM,10/Jul/25 8:12 PM,,,,0,Develop the 'Send a Package' CTA button on the dashboard. Ensure it is functional and appears after user authentication during onboarding.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000of:,,,,,,,,,10350,QUIC-74,“Send a Package” CTA Button,In Progress,10/Jul/25 8:12 PM
Test 'Send a Package' CTA Button Visibility,QUIC-100,10416,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:33 AM,18/Jun/25 10:34 AM,,,,0,Conduct tests to verify that the 'Send a Package' CTA button is visible after user authentication and during onboarding.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000o7:,,,,,,,,,10350,QUIC-74,“Send a Package” CTA Button,To Do,18/Jun/25 10:33 AM
Integrate CTA Button with Delivery Request Flow,QUIC-101,10415,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:33 AM,10/Jul/25 8:13 PM,,,,0,Connect the 'Send a Package' CTA button to the delivery request flow. Ensure that tapping the button directs the user to the pickup and delivery screen.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000nz:,,,,,,,,,10350,QUIC-74,“Send a Package” CTA Button,In Progress,10/Jul/25 8:13 PM
Implement Bottom Navigation Bar UI,QUIC-99,10412,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:28 AM,07/Jul/25 12:08 PM,,,,0,"Design and implement the UI for the bottom navigation bar with three icons: Home, Orders, and Account. Ensure the active screen is visually highlighted.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000nr:,,,,,,,,,10348,QUIC-73,"Bottom Tab Navigation (Home, Orders, Account)",In Progress,07/Jul/25 12:08 PM
Ensure Bottom Navigation Bar Visibility,QUIC-97,10407,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:28 AM,07/Jul/25 12:08 PM,,,,0,"Ensure that the bottom navigation bar is always visible on the main app screens, regardless of the screen size or orientation.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000nj:,,,,,,,,,10348,QUIC-73,"Bottom Tab Navigation (Home, Orders, Account)",In Progress,07/Jul/25 12:08 PM
Integrate Navigation Functionality for Account Tab,QUIC-98,10408,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:28 AM,07/Jul/25 12:06 PM,,,,0,"Develop the functionality to navigate to the profile, wallet, and support links when the Account tab is selected. Ensure the Account tab is highlighted when active.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000nb:,,,,,,,,,10348,QUIC-73,"Bottom Tab Navigation (Home, Orders, Account)",In Progress,07/Jul/25 12:06 PM
Integrate Navigation Functionality for Orders Tab,QUIC-96,10410,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:28 AM,07/Jul/25 12:06 PM,,,,0,Develop the functionality to navigate to the list of past and current deliveries when the Orders tab is selected. Ensure the Orders tab is highlighted when active.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000n3:,,,,,,,,,10348,QUIC-73,"Bottom Tab Navigation (Home, Orders, Account)",In Progress,07/Jul/25 12:06 PM
Integrate Navigation Functionality for Home Tab,QUIC-95,10409,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:28 AM,07/Jul/25 12:06 PM,,,,0,Develop the functionality to navigate to the dashboard when the Home tab is selected. Ensure the Home tab is highlighted when active.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000mv:,,,,,,,,,10348,QUIC-73,"Bottom Tab Navigation (Home, Orders, Account)",In Progress,07/Jul/25 12:06 PM
Test Recent Orders Feature,QUIC-94,10402,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:23 AM,18/Jun/25 10:27 AM,,,,0,"Check the recent orders feature to make sure it works well and meets all the requirements, so users have a good experience.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000mn:,,,,,,,,,10346,QUIC-72,Recent Orders / Order History,To Do,18/Jun/25 10:23 AM
Update Orders List Automatically on Backend,QUIC-93,10400,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:23 AM,18/Jun/25 10:24 AM,,,,0,"Make sure the backend updates the list of recent orders after each delivery is done, so the app always gets the latest information.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000mf:,,,,,,,,,10346,QUIC-72,Recent Orders / Order History,To Do,18/Jun/25 10:23 AM
Create Order Details API on Backend,QUIC-92,10398,Subtask,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,18/Jun/25 10:23 AM,18/Jun/25 10:24 AM,,,,0,"Set up a backend service that gives detailed information about a specific order, so the app can show all the details to users.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000m7:,,,,,,,,,10346,QUIC-72,Recent Orders / Order History,To Do,18/Jun/25 10:23 AM
